Judul,Penulis,Terbit
Mathematical model for MERS-COV disease transmission with medical mask usage and vaccination,"M Manaqib, I Fauziah, M Mujiyanti","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (2), 97-109, 2019"
Pemodelan Matematika Infiltrasi Air pada Saluran Irigasi Alur,M Manaqib,"J. Mat.“MANTIK 3 (1), 25, 2017"
Model matematika penyebaran penyakit pulmonary tuberculosis dengan penggunaan masker medis,"N Inayah, M Manaqib, N Fitriyati, I Yupinto","Barekeng: Jurnal Ilmu Matematika dan Terapan 14 (3), 461-472, 2020"
Model matematika penyebaran COVID-19 dengan penggunaan masker kesehatan dan karantina,"M Manaqib, I Fauziah, E Hartati","Jambura Journal of Biomathematics (JJBM) 2 (2), 68-79, 2021"
Dual Reciprocity Boundary Element Method untuk menyelesaikan Masalah Infiltrasi Air pada Saluran Irigasi Alur,"M Manaqib, I Solekhudin","Proceeddings of Seminar Matematika dan Pendidikan Matematika UNY, 2017"
Analisis model matematika penyebaran penyakit COVID-19 dengan lockdown dan karantina,"M Manaqib, M Azizah, S Pratiwi, RA Maulana","BAREKENG: Jurnal Ilmu Matematika Dan Terapan 15 (3), 479-492, 2021"
Analysis Infiltration Waters in Various Forms of Irrigation Channels by Using Dual Reciprocity Boundary Element Method,"IF Ana Nurhasanah, Muhammad Manaqib","Jurnal Matematika MANTIK 6 (1), 52-64, 2020"
Boundary element method untuk menyelesaikan masalah syarat batas persamaan Laplace dimensi dua,M Manaqib,"LOGIK@ 7 (2), 122-136, 2017"
"Operator Solusi Model Fluida Termampatkan Tipe Korteweg Dengan Kondisi Batas Slip di Half-Space Kasus Koefisien ((μ+ ν)/(2 κ))^ 2-(1/κ)> 0, κ= μ ν, μ≠ ν","S Inna, I Fauziah, M Manaqib, PM Putri","Limits: Journal of Mathematics and Its Applications 20 (2), 191-208, 2023"
DUAL RECIPROCITY BOUNDARY ELEMENT METHOD UNTUK MENYELESAIKAN MASALAH ILFILTRASI SALURAN IRIGASI ALUR DI DALAM BEBERAPA JENIS TANAH HOMOGEN,M Manaqib,"Universitas Gadjah Mada, 2015"
"Mathematical Model and Simulation of the Spread of COVID-19 with Vaccination, Implementation of Health Protocols, and Treatment","M Manaqib, M Mahmudi, G Prayoga","Jambura Journal of Biomathematics (JJBM) 4 (1), 69-79, 2023"
Implementation of the model capacited vehicle routing problem with time windows with a goal programming approach in determining the best route for goods distribution,"W Irawan, M Manaqib, N Fitriyati","Jurnal Matematika, Statistika Dan Komputasi 17 (2), 231-239, 2021"
Pemodelan matematika penyebaran penyakit Middle East Respiratory Syndrome Corona Virus (MERS-CoV) dengan penggunaan masker kesehatan dan vaksinasi,"I Fauziah, M Manaqib","Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 2020"
Penyelesaian masalah syarat batas persamaan Helmhotz menggunakan dual reciprocity boundary element method,M Manaqib,"LOGIK@ 8 (2), 115-132, 2018"
"Model Matematika Penyakit Kolera Melalui Kontak Antar Individu, Sumber Air, dan Lalat","M Manaqib, F Irma, BF Apriyanto","Vygotsky: Jurnal Pendidikan Matematika dan Matematika 4 (2), 79-92, 2022"
Mathematical model of three species food chain with intraspecific competition and harvesting on predator,"M Manaqib, A Zahra","BAREKENG: Jurnal Ilmu Matematika dan Terapan 16 (2), 551-562, 2022"
Furrow irrigation infiltration in various soil types using dual reciprocity boundary element method,"N Inayah, M Manaqib, WN Majid","AIP Conference Proceedings 2329 (1), 2021"
Penentuan gen data microarray kanker payudara menggunakan metode support vector machine recursive feature elimination,HD Febriyaningtyas,"Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 2019"
Multi-Objective Vehicle Routing Problem With Times Windows Dengan Pendekatan Goal Programming Untuk Menyelesaikan Masalah Optimisasi Rute Perjalanan Bus Pariwisata,"M Manaqib, RD Pantoro","Sainstek: Jurnal Sains dan Teknologi 9 (1), 76-84, 2018"
OPTIMISASI RUTE PERJALANAN BUS PARIWISATA MENGGUNAKAN MULTI-OBJECTIVE VEHICLE ROUTING PROBLEM WITH TIMES WINDOWS DENGAN PENDEKATAN GOAL PROGRAMMING,"M Manaqib, RD Pantoro","LOGIK@ 8 (1), 1-10, 2018"
ANALYSIS OF THE COVID-19 EPIDEMIC MODEL WITH SELF-ISOLATION AND HOSPITAL ISOLATION,"M Manaqib, TN Padilah, I Maulana","BAREKENG: Jurnal Ilmu Matematika dan Terapan 17 (4), 2147-2160, 2023"
MATHEMATICAL MODEL OF MEASLES DISEASE SPREAD WITH TWO-DOSE VACCINATION AND TREATMENT,"M Manaqib, AK Yuliawati, DU Zulkifli","Journal of Fundamental Mathematics and Applications (JFMA) 6 (2), 209-223, 2023"
"Model Matematika COVID-19 dengan Vaksinasi Dua Tahap, Karantina, dan Pengobatan Mandiri","M Manaqib, M Mahmudi, RA Salsadilla","Limits: Journal of Mathematics and Its Applications 20 (3), 255-273, 2023"
Relation Classification in Scientific Article Abstracts using SciBERT with Entity Marker,"N Inayah, M Liebenlito, N Fitriyati, M Manaqib, N Aryanti","2023 11th International Conference on Cyber and IT Service Management (CITSM …, 2023"
ANALISIS REGRESI LOGISTIK ORDINAL TERHADAP FAKTOR-FAKTOR YANG MEMPENGARUHI WAKTU TUNGGU KERJA ALUMNI MATEMATIKA FST UIN SYARIF HIDAYATULLAH JAKARTA,"S Inna, D Mariana, M Mahmudi, M Manaqib","SIGMA 8 (2), 75-83, 2023"
MODEL MATEMATIKA TRANSMISI HUMAN PAPILLOMAVIRUS (HPV) PADA PENYAKIT KANKER SERVIKS,"M Manaqib, I Fauziah, WT Asih","Jurnal Matematika UNAND 11 (4), 230-245, 2022"
"Mathematics Model of COVID-19 with Two-Stage Vaccination, Symptomatic, Asymptomatic, and Quarantine Individuals","N Inayah, M Manaqib, MF Fadillah","CAUCHY: Jurnal Matematika Murni dan Aplikasi 7 (3), 370-383, 2022"
Mathematical model of Ebola virus disease through human transmission and bat transmission,"S Suma’inna, M Manaqib, MA Silvani","AIP Conference Proceedings 2498 (1), 2022"
"Mathematical model of cholera disease through individuals contact, water resources, fly and fish vectors","S Suma’inna, M Manaqib, N Farhana","AIP Conference Proceedings 2498 (1), 2022"
Operator Solusi Model Fluida Termampatkan Tipe Korteweg Dengan Kondisi Batas Slip di Half-Space Kasus Koefisien,"S Inna, I Fauziah, M Manaqib, PM Putri",
PEMODELAN,M Manaqib,
Penyelesaian masalah infiltrasi saluran irigasi alur dengan root water uptake menggunakan dual reciprocity boundary element method dengan skema prediktor-korektor,VD Samudra,"Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 0"
Analisis Kestabilan Mangsa Pemangsa Di Lingkungan Beracun,PS Kinasih,"Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Implementasi model capacitated vehicle routing problem with time windows dengan pendekatan goal programming pada penentuan rute terbaik distribusi barang studi kasus pada …,W Irawan,"Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Model matematika penyebaran penyakit Covid-19 dengan penggunaan masker kesehatan dan karantina,"I Fauziah, M Manaqib","Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 0"
Model matematika rantai makanan tiga spesies dengan persaingan intraspesifik dan pemanenan pada predator,A Zahra,"Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 0"
Perbandingan karakteristik infiltrasi air irigasi alur dalam berbagai jenis tanah menggunakan dual reciprocity boundary element method,WN Majid,"Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 0"
Sequential topic modelling: A case study on indonesian lgbt conversation on twitter,"A Arslina, M Liebenlito","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (1), 17-31, 2019"
Classification of tuberculosis and pneumonia in human lung based on chest x-ray image using convolutional neural network,"M Liebenlito, Y Irene, A Hamid","InPrime: Indonesian Journal of Pure and Applied Mathematics 2 (1), 24-32, 2020"
Classification of falciparum parasite in human red blood cells using randomly wired neural network,"N Inayah, M Liebenlito, N Fitriyati, K Monardo","2020 8th International Conference on Cyber and IT Service Management (CITSM …, 2020"
Modified firefly algorithm using smallest position value for job-shop scheduling problems,"M Liebenlito, N Inayah, AN Rahmah, A Widiatmoko","Proceedings of the International Conference on Mathematics and Islam, 23-27, 2018"
Modified self-attentive bi-directional long-short term memory for detecting clickbait in Indonesian news headline,"M Liebenlito, I Ivansyah, MY Wijaya, RF Suwarman","AIP Conference Proceedings 3049 (1), 2024"
Deteksi Clickbait pada Judul Berita Online Berbahasa Indonesia Menggunakan FastText,"M Liebenlito, AA Yesinta, MIS Musti","Journal of Applied Computer Science and Technology 5 (1), 56-62, 2024"
